"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"03D1au",0.503084,0.5043,0,23.001698,0.088031,1.273191,0.150058,-0.012353,0.030011,9.517,0.1105,52909.74522,0.214332,0.00079,0.00044,-3e-05,1,36.04321,-4.037469,0.001697
"03D1aw",0.580724,0.582,0,23.573937,0.090132,0.974346,0.273823,-0.025076,0.036691,9.169,0.088,52902.898002,0.352732,0.002823,0.000415,0.001574,1,36.061634,-4.517158,0.000843
"03D1ax",0.494795,0.496,0,22.960139,0.08811,-0.728837,0.102069,-0.099683,0.030305,11.58,0.1125,52915.92367,0.111634,0.000542,0.000475,-2.4e-05,1,36.097287,-4.720774,0.001692
"03D1bp",0.345928,0.347,0,22.398137,0.087263,-1.15511,0.112834,-0.040581,0.026679,10.821,0.1235,52920.249015,0.102828,0.001114,0.000616,0.000295,1,36.657235,-4.838779,-0.00027
"03D1co",0.677662,0.679,0,24.078115,0.098356,0.61882,0.404295,-0.03938,0.067403,8.647,0.284,52954.458342,0.454715,0.011857,0.00078,0.005898,1,36.567748,-4.93505,-0.002855
"03D1dt",0.610712,0.612,0,23.285241,0.092877,-1.161563,1.641345,-0.094943,0.049652,9.715,0.092,52962.253197,0.976562,0.029671,0.000947,0.044357,1,36.629968,-4.052341,2.6e-05
"03D1ew",0.866494,0.868,0,24.353678,0.106037,0.376409,0.348004,-0.063269,0.067817,8.53,0.805,52991.741625,0.665126,0.003181,-0.001601,0.004093,1,36.058795,-4.665852,-0.017996
"03D1fc",0.330932,0.332,0,21.861412,0.086437,0.650394,0.118542,-0.017577,0.023794,10.391,0.036,53002.763813,0.104433,0.001006,0.000527,0.00054,1,36.431648,-4.144059,-0.000526
"03D1fq",0.798566,0.8,0,24.510389,0.101777,-1.056666,0.406837,-0.055975,0.064955,10.651,0.127,52999.213046,0.655817,0.005897,-0.001115,0.003551,1,36.731935,-4.302217,-0.011577
"03D3aw",0.449562,0.449,0,22.667126,0.091912,0.810113,0.232169,-0.085962,0.038205,10.695,0.034,52767.328075,0.200656,0.005474,0.000792,0.000662,1,215.223049,52.605624,0.0014
"03D3ay",0.371443,0.3709,0,22.273052,0.091326,0.569579,0.197845,-0.054463,0.033075,10.198,0.0675,52767.625241,0.141892,0.004907,0.000899,0.000913,1,214.49358,52.482613,0.000189
"03D3ba",0.291718,0.2912,0,21.961068,0.093479,0.760688,0.172975,0.116118,0.035364,10.211,0.0935,52749.605469,0.804557,-0.002911,0.001326,-0.001142,1,214.139297,52.34219,-0.001074
"03D3bl",0.35582,0.3553,0,22.926619,0.087008,0.055758,0.192657,0.204749,0.029878,10.831,0.0925,52787.142342,0.288522,0.000395,0.000662,-0.000535,1,214.982501,53.097401,-9.4e-05
"03D3cd",0.461274,0.4607,0,22.575127,0.095948,1.861682,0.565093,-0.043023,0.038208,9.339,0.152,52801.729007,0.226325,0.021901,0.001309,0.010876,1,214.666364,52.612079,0.001514
"03D4ag",0.28361,0.285,0,21.256943,0.086683,0.937399,0.104658,-0.085197,0.023476,10.628,0.099,52830.931258,0.095579,0.001009,0.000524,-0.000243,1,333.690959,-17.739655,-0.001153
"03D4at",0.632234,0.634,0,23.73918,0.093125,0.208542,0.330258,-0.050531,0.066776,8.751,0.0775,52816.959534,0.560938,0.003702,0.000788,0.001452,1,333.600166,-17.776726,-0.000739
"03D4au",0.466414,0.468,0,23.789546,0.09035,0.376996,0.332539,0.122416,0.043376,9.464,0.1065,52816.1772,0.504015,0.003236,0.00084,0.000892,1,334.041366,-18.07759,0.001557
