"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
703,"...","P",0.3,-0.01,0.05,0.66,0.65,-0.15,0.17,1237663544222482944,1,9.96,0.13,8.92,0.05,-9.82,0.13,0.46,"BOSS"
762,"2005eg","S",0.19,-0.04,0.03,1.13,0.27,0.16,0.09,1237666338114765056,1,11.24,0.08,8.92,0.08,-10.16,0.09,0.21,"SDSS"
779,"...","P",0.24,0.02,0.04,0.41,0.39,-0.1,0.12,1237657069548208384,3,10.1,0.09,-999,-999,-999,-999,0.3,"BOSS"
822,"...","P",0.24,-0.09,0.05,-0.58,0.58,0.24,0.16,1237657584950379008,3,10.02,0.15,-999,-999,-999,-999,0.32,"BOSS"
859,"...","P",0.28,0.02,0.04,0.46,0.51,-0.33,0.14,1237666408438301184,1,9.64,0.13,8.8,0.06,-8.91,0.13,0.42,"BOSS"
911,"...","P",0.21,0.24,0.06,-0.48,0.73,-0.1,0.18,1237666407922467584,1,10.14,0.09,8.75,0.05,-9.13,0.09,0.18,"BOSS"
986,"...","P",0.28,0.01,0.06,-0.21,1.09,0.09,0.25,1237663463145079040,1,10.26,0.1,8.61,0.17,-9.21,0.12,0.27,"BOSS"
1008,"2005il","P",0.23,-0.02,0.04,0.46,0.48,-0.11,0.11,1237678617430197248,2,10.61,0.14,9,0.11,-11.62,0.31,0.28,"BOSS"
1032,"2005ez","S",0.13,0.05,0.04,-2.54,0.2,-0.02,0.1,1237666302164664320,2,10.68,0.07,9.1,0.06,-11.38,0.09,0.46,"SDSS"
1112,"2005fg","S",0.26,-0.04,0.05,-0.53,0.71,0.1,0.18,1237663478724428544,10,11.35,0.06,8.93,0.09,-9.42,0.07,0.13,"SDSS"
1119,"2005fc","S",0.3,-0.14,0.06,0.86,1.38,0.3,0.28,1237663458851619840,0,10.8,0.07,8.99,0.02,-9.25,0.07,0.29,"BOSS"
1241,"2005ff","S",0.09,0.05,0.02,-0.54,0.08,-0.09,0.06,1237656567586226432,2,10.7,0.11,8.78,0.05,-9.33,0.11,0.13,"BOSS"
1253,"2005fd","S",0.26,-0.1,0.04,-0.93,0.47,-0.12,0.14,1237663457779384576,2,11.15,0.09,9.15,0.05,-11.55,0.12,0.22,"BOSS"
1354,"...","P",0.25,0.2,0.08,-1.12,1.22,-0.15,0.3,1237663784195129600,1,10.63,0.08,8.88,0.02,-8.71,0.09,0.21,"BOSS"
1371,"2005fh","S",0.12,-0.1,0.02,0.79,0.1,-0.15,0.06,1237663277923107072,3,10.89,0.08,-999,-999,-999,-999,0.45,"SDSS"
1415,"...","P",0.21,0.17,0.04,0.92,0.5,-0.21,0.13,1237663716016980224,0,11.64,0.13,9.08,0.07,-11.34,0.16,0.29,"SDSS"
1658,"...","P",0.28,0,0.05,0.43,0.47,0.06,0.15,1237657191977845248,1,9.73,0.12,8.57,0.95,-9.51,0.18,0.27,"BOSS"
1794,"2005fj","S",0.14,0.03,0.03,1.17,0.32,0.11,0.08,1237663542603809024,3,9.27,0.08,-999,-999,-999,-999,0.21,"BOSS"
1979,"...","P",0.29,0.01,0.06,-1.28,1.08,-0.16,0.26,1237678617406604288,1,9.74,0.17,8.78,0.16,-10.09,0.21,0.33,"BOSS"
2017,"2005fo","S",0.26,-0.11,0.04,1.37,0.56,0.3,0.16,1237663479793714176,1,10.55,0.08,9.09,0.03,-9.73,0.09,0.32,"BOSS"
2081,"...","P",0.25,-0.1,0.05,-0.43,0.82,0.25,0.18,1237660024493834752,1,10.09,0.09,8.86,0.07,-9.43,0.1,0.53,"SDSS"
2149,"...","P",0.3,-0.09,0.06,0.29,0.73,0.33,0.2,1237666338652487680,3,10.49,0.16,-999,-999,-999,-999,0.35,"BOSS"
2330,"2005fp","S",0.21,0.02,0.06,-1.79,0.58,0.41,0.17,1237678434328183296,1,9.87,0.1,9.14,0.05,-10.42,0.13,0.28,"BOSS"
2372,"2005ft","S",0.18,0.03,0.03,0.31,0.22,-0.09,0.08,1237657070091109120,1,10.6,0.08,9.02,0.05,-9.9,0.08,0.31,"BOSS"
2440,"2005fu","S",0.19,-0.08,0.03,0.43,0.29,0.21,0.09,1237678617436487936,1,10.32,0.08,8.86,0.02,-8.82,0.08,0.28,"BOSS"
2532,"...","P",0.27,0,0.05,0.89,0.63,0.21,0.19,1237663783672676608,20,11.44,0.1,9.06,0.13,-11.42,0.19,0.14,"BOSS"
2561,"2005fv","S",0.12,0.04,0.03,-0.08,0.11,0.04,0.06,1237678437019287552,1,10.76,0.06,8.78,0.07,-10.36,0.07,0.2,"SDSS"
2639,"...","P",0.22,0,0.03,0.4,0.28,-0.33,0.1,1237663544219926784,0,10.92,0.07,9.55,0.05,-14.4,0.61,0.39,"BOSS"
2766,"...","P",0.15,-0.05,0.03,-0.05,0.4,-0.06,0.09,1237666300019802368,0,11.25,0.11,8.98,0.05,-10.57,0.12,0.34,"SDSS"
2789,"2005fx","S",0.29,-0.11,0.05,-0.77,0.55,0,0.17,1237663444906017280,3,11.22,0.17,-999,-999,-999,-999,0.25,"BOSS"
2855,"...","P",0.25,-0.04,0.04,0.66,0.43,-0.01,0.15,1237663783667630592,1,9.71,0.11,8.95,0.06,-9.34,0.12,0.38,"BOSS"
2871,"...","P",0.29,-0.04,0.02,-0.77,0.96,0.14,0.21,1237663782590873856,0,11.3,0.11,9.2,11.14,-10.04,0.31,0.27,"BOSS"
2992,"2005gp","S",0.13,0.1,0.03,-0.96,0.14,-0.2,0.07,1237663237667553536,1,10.23,0.06,8.83,0.06,-9.85,0.06,0.29,"SDSS"
3080,"2005ga","S",0.17,-0.05,0.02,0.11,0.19,-0.13,0.07,1237666338115354880,2,10.96,0.11,8.91,0.04,-9.91,0.11,0.26,"BOSS"
3087,"2005gc","S",0.17,0.01,0.02,0.53,0.19,-0.09,0.07,1237666338116927744,1,9.66,0.09,8.61,0.09,-9.49,0.1,0.2,"BOSS"
3317,"2005gd","S",0.16,0.02,0.03,-0.51,0.19,-0.14,0.07,1237657071695823360,1,10.05,0.07,8.96,0.05,-9.72,0.08,0.2,"BOSS"
3426,"...","P",0.23,-0.15,0.03,-0.28,0.44,0.2,0.12,1237663479799415040,0,11.04,0.09,8.87,0.04,-9.22,0.09,0.26,"BOSS"
3451,"2005gf","S",0.25,-0.07,0.03,0.75,0.33,-0.14,0.11,1237663544221499904,0,10.84,0.12,8.96,0.05,-10.35,0.14,0.31,"BOSS"
3452,"2005gg","S",0.23,-0.08,0.03,0.89,0.27,-0.03,0.09,1237663544221762304,1,9.23,0.09,8.73,0.82,-8.99,0.12,0.33,"BOSS"
3565,"...","P",0.29,-0.19,0.05,-1.15,0.49,0.22,0.17,1237657191980073216,2,11.95,0.13,9.03,0.16,-10.46,0.19,0.21,"SDSS"
3592,"2005gb","S",0.09,-0.04,0.02,-0.14,0.07,-0.02,0.06,1237663204922491136,2,10.74,0.07,9,0.03,-9.53,0.07,0.21,"SDSS"
3887,"...","P",0.3,0.03,0.08,-2.69,1.01,-0.28,0.3,1237663784202207488,0,10.86,0.11,-999,-999,-9.05,0.12,0.37,"BOSS"
3945,"...","P",0.26,-0.16,0.34,0.49,0.09,0.35,0.84,1237663783654392320,2,9.76,0.11,8.74,0.07,-9.31,0.12,0.4,"BOSS"
4000,"2005gt","S",0.28,-0.01,0.06,-1.04,0.61,0.1,0.21,1237663783674118400,10,10.92,0.08,8.88,0.16,-10.49,0.18,0.21,"BOSS"
4019,"...","P",0.18,0.16,0.04,0.51,0.28,-0.08,0.09,1237657192516354304,1,11.04,0.07,9.05,0.05,-9.8,0.08,0.3,"SDSS"
4046,"2005gw","S",0.28,-0.01,0.04,0.81,0.52,0.01,0.16,1237657191976534272,1,9.36,0.31,8.99,0.03,-7.81,0.31,0.56,"BOSS"
4181,"...","P",0.29,-0.09,0.04,1.88,0.73,0.26,0.18,1237663782603325696,3,10.44,0.08,-999,-999,-999,-999,0.31,"BOSS"
4206,"...","P",0.29,0.03,0.07,-1.52,0.64,-0.06,0.21,1237666407366328832,1,11.01,0.15,8.91,0.07,-9.68,0.15,0.33,"BOSS"
4311,"...","P",0.3,-0.02,0.05,0.09,0.52,-0.17,0.18,1237678617431900416,3,10.48,0.08,-999,-999,-999,-999,0.34,"BOSS"
4676,"...","P",0.25,-0.09,0.03,0.6,0.11,0.06,0.09,1237663204922425856,1,10.27,0.12,8.8,0.11,-9.07,0.12,0.35,"BOSS"
5103,"2005gx","S",0.16,0.02,0.03,-0.23,0.15,-0.09,0.07,1237657191978894080,1,9.09,0.08,8.43,0.33,-8.47,0.1,0.34,"BOSS"
5199,"...","P",0.22,0.13,0.05,0.77,0.56,0.24,0.15,1237656906350199296,1,9.54,0.11,8.78,0.1,-9.43,0.14,0.41,"BOSS"
5235,"...","P",0.25,0.01,0.05,-0.47,0.4,-0.03,0.14,1237663544222876160,1,9.01,0.18,8.47,0.39,-9.3,0.3,0.83,"BOSS"
5473,"...","P",0.28,-0.07,0.05,-1.07,0.43,0.08,0.16,1237666408440135936,0,11.29,0.14,9.19,0.06,-12.08,0.33,0.23,"BOSS"
5486,"...","P",0.23,0.06,0.05,1.27,0.6,0.13,0.15,1237663478721872640,1,10.22,0.08,8.79,0.04,-9.23,0.09,0.23,"BOSS"
5533,"2005hu","S",0.22,0.02,0.03,-0.06,0.28,-0.01,0.08,1237663543682270208,1,9.96,0.09,8.52,0.11,-9.47,0.1,0.17,"BOSS"
5549,"2005hx","S",0.12,0,0.02,0.25,0.1,0,0.05,1237657191443529984,1,8.72,0.1,8.5,0.18,-9.4,0.14,0.52,"BOSS"
5550,"2005hy","S",0.16,-0.05,0.02,1.91,0.2,0.03,0.06,1237657191443661056,1,9.56,0.1,8.64,0.04,-8.98,0.1,0.26,"BOSS"
5635,"2005hv","S",0.18,-0.03,0.04,0.06,0.41,0.4,0.1,1237663543147364352,3,9.48,0.07,-999,-999,-999,-999,0.41,"BOSS"
5751,"2005hz","S",0.13,0.15,0.02,0.65,0.11,-0.09,0.05,1237663204919279872,1,10.78,0.1,9.06,0.04,-9.61,0.1,0.18,"BOSS"
5776,"...","P",0.24,-0.17,0.06,0.11,0.51,0.38,0.17,1237656568119099648,0,11.18,0.09,8.88,0.06,-10.76,0.13,0.24,"BOSS"
5890,"...","P",0.18,-0.01,0.04,0.11,0.31,0.05,0.09,1237663479795286272,2,10.74,0.09,8.97,0.02,-9.76,0.1,0.3,"BOSS"
5917,"...","P",0.3,-0.1,0.04,0.35,0.49,-0.18,0.13,1237663783663174656,3,9.88,0.19,-999,-999,-999,-999,0.21,"BOSS"
5957,"2005ie","S",0.28,-0.11,0.04,-0.11,0.44,0.08,0.12,1237663783675756800,1,10.46,0.09,9.05,0.03,-9.39,0.09,0.4,"BOSS"
5959,"...","P",0.21,-0.07,0.03,-0.17,0.26,0.07,0.08,1237663783677198336,2,11.16,0.14,9.04,0.1,-9.97,0.15,0.12,"BOSS"
5963,"...","P",0.24,0,0.04,-0.07,0.37,-0.18,0.1,1237663716019208704,1,10.36,0.09,8.88,0.05,-9.58,0.1,0.23,"BOSS"
6192,"2005jy","S",0.27,-0.05,0.05,-1.94,0.79,-0.06,0.17,1237678617412764416,1,9.64,0.12,8.22,1.19,-9.45,0.18,0.24,"BOSS"
6196,"2005ig","S",0.28,-0.01,0.05,-1.44,0.59,-0.33,0.14,1237663542612460288,3,11.41,0.15,-999,-999,-999,-999,0.26,"BOSS"
6249,"2005ii","S",0.3,0.03,0.05,0.6,0.7,-0.04,0.16,1237657190369788416,1,10.05,0.12,10.68,-999,-999,-999,0.28,"BOSS"
6275,"...","P",0.27,0.14,0.05,-0.15,0.67,-0.36,0.15,1237663784212562432,1,11.07,0.12,8.85,0.07,-9.45,0.13,0.33,"BOSS"
6304,"2005jk","S",0.19,0.07,0.03,-0.49,0.39,-0.09,0.09,1237678617429410048,1,10.66,0.06,8.84,0.07,-9.51,0.07,0.14,"BOSS"
6406,"2005ij","S",0.12,0,0.02,0.13,0.13,-0.1,0.06,1237660024523915520,1,10.55,0.06,8.85,0.05,-9.71,0.07,0.23,"SDSS"
6422,"2005id","S",0.19,-0.11,0.02,0.82,0.22,0.04,0.07,1237663783118897664,1,9.77,0.09,8.79,0.07,-9.52,0.11,0.28,"BOSS"
6431,"...","P",0.26,-0.12,0.07,-2.24,0.6,0.2,0.2,1237663783126958336,0,11.2,0.11,8.54,0.2,-10.39,0.22,0.26,"BOSS"
6479,"...","P",0.23,0,0.03,-0.72,0.45,-0.19,0.11,1237678617400509696,2,10.35,0.09,8.81,0.04,-9.52,0.09,0.38,"BOSS"
6530,"...","P",0.19,-0.09,0.04,-1.53,0.03,0.04,0.09,1237663784203649280,3,10.34,0.1,-999,-999,-999,-999,0.51,"BOSS"
6556,"...","P",0.26,0.13,0.05,-0.92,0.57,-0.48,0.13,1237663782589825280,0,11.15,0.07,9.03,0.03,-9.66,0.07,0.21,"BOSS"
6560,"...","P",0.27,-0.02,0.08,-1.12,1.06,0.14,0.22,1237663458852078080,1,9.7,0.09,8.64,0.11,-9.03,0.12,0.37,"BOSS"
