D,RA,DEC,M_V,V_I,logP,type
OGLE-LMC-ECL-00654,04:45:24.73,-67:47:33.8,-0.521,-0.137,-0.171301,near-contact 
OGLE-LMC-ECL-01278,04:49:53.60,-68:58:50.3,-1.661,-0.129,0.017263,near-contact 
OGLE-LMC-ECL-01572,04:51:06.09,-69:35:40.8,-1.871,-0.205,-0.152281,near-contact 
OGLE-LMC-ECL-01725,04:51:39.44,-70:42:22.5,-1.584,-0.175,0.022083,near-contact 
OGLE-LMC-ECL-01792,04:51:55.98,-69:29:04.8,-1.582,-0.186,-0.157848,genuinely-contact 
OGLE-LMC-ECL-02444,04:54:01.87,-67:01:36.1,-0.468,-0.079,-0.189630,near-contact 
OGLE-LMC-ECL-02776,04:54:52.22,-67:08:03.4,-0.728,-0.087,-0.279861,genuinely-contact 
OGLE-LMC-ECL-03026,04:55:32.53,-69:28:27.1,-3.083,-0.300,0.058536,near-contact 
OGLE-LMC-ECL-03742,04:57:16.75,-70:12:51.2,-2.300,-0.216,0.030166,near-contact 
OGLE-LMC-ECL-03778,04:57:20.43,-67:02:24.3,-2.950,-0.220,-0.178228,genuinely-contact 
OGLE-LMC-ECL-03780,04:57:20.58,-68:52:37.8,-3.284,-0.199,0.056293,near-contact 
OGLE-LMC-ECL-03838,04:57:30.57,-68:49:50.4,-3.394,-0.249,-0.103829,genuinely-contact 
OGLE-LMC-ECL-04189,04:58:21.49,-67:16:38.2,-2.290,-0.268,-0.073589,genuinely-contact 
OGLE-LMC-ECL-04341,04:58:48.47,-66:57:53.8,-1.322,-0.200,-0.246135,genuinely-contact 
OGLE-LMC-ECL-05322,05:01:36.42,-67:37:18.8,-1.470,-0.177,-0.081093,genuinely-contact 
OGLE-LMC-ECL-05389,05:01:47.05,-70:54:08.7,-2.586,-0.242,-0.036790,genuinely-contact 
OGLE-LMC-ECL-05906,05:03:00.41,-70:20:38.8,-2.927,-0.265,-0.026323,near-contact 
OGLE-LMC-ECL-05977,05:03:10.27,-67:52:00.5,-0.151,0.018,0.062884,near-contact 
OGLE-LMC-ECL-06062,05:03:20.89,-68:58:26.4,-0.008,0.005,-0.041275,near-contact 
OGLE-LMC-ECL-06121,05:03:30.51,-69:54:54.7,-0.752,-0.152,-0.282502,genuinely-contact 
OGLE-LMC-ECL-06667,05:04:43.35,-70:19:48.3,-1.349,-0.183,-0.294782,near-contact 
OGLE-LMC-ECL-06731,05:04:50.84,-70:08:58.9,-3.361,-0.289,0.067021,genuinely-contact 
OGLE-LMC-ECL-06745,05:04:52.91,-70:33:01.8,-0.948,-0.186,-0.207001,genuinely-contact 
OGLE-LMC-ECL-07009,05:05:29.38,-70:31:53.4,-2.718,-0.263,-0.046756,near-contact 
OGLE-LMC-ECL-07050,05:05:35.36,-67:03:11.6,0.260,0.043,-0.142969,genuinely-contact 
OGLE-LMC-ECL-07378,05:06:14.93,-69:09:02.9,-0.507,-0.062,-0.049429,genuinely-contact 
OGLE-LMC-ECL-08338,05:08:32.69,-71:13:38.5,-3.577,-0.186,0.106351,genuinely-contact 
OGLE-LMC-ECL-08909,05:09:51.75,-69:02:03.9,-2.171,-0.164,0.138865,near-contact 
OGLE-LMC-ECL-09001,05:10:04.09,-69:37:02.2,-0.238,-0.044,-0.105518,near-contact 
OGLE-LMC-ECL-09055,05:10:11.76,-69:06:25.6,-1.208,-0.098,-0.279223,genuinely-contact 
