NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
162,09:58:30.23,+00:02:42.72,30.23067855834961,1.8935558795928955,71,40.4849967956543,3.1751723289489746,0.7181354,0.044981774,1.05198224E8,2.9240232E7,1.615338E7,7440246.5,"           1"
1443,12:23:09.98,+00:25:37.76,35.361080169677734,2.000777006149292,68,26.1630802154541,13.456302642822266,0.86350316,0.048858155,4.1392768E7,1.868542E7,4.3087828E7,1.9846254E7,"           1"
5109,22:30:36.80,-00:06:37.01,21.256725311279297,1.857816457748413,28,77.56465911865234,3.1610934734344482,0.2859325,0.024990216,6.6646112E7,2.418962E7,7706057.5,3549410.0,"           3"
5378,23:06:39.16,+00:34:41.02,68.13135528564453,2.3939568996429443,70,61.93996810913086,2.1340229511260986,1.8180625,0.06388194,1.03920218E9,1.66114256E8,2.73271296E8,1.2586876E8,"           1"
5424,23:14:19.43,+00:10:59.36,60.297279357910156,1.750600814819336,88,63.627235412597656,3.002363920211792,1.7710583,0.05141884,4.04860928E8,5.8240672E7,6.1175456E8,2.81774176E8,"           1"
5449,23:28:12.31,-01:03:46.37,35.303382873535156,2.143744945526123,60,49.39607620239258,2.317406415939331,1.0820346,0.06570493,2.29042416E8,5.8682888E7,2.0244624E7,9324674.0,"           3"
5720,00:13:44.02,+00:22:18.46,56.5007209777832,1.750600814819336,60,23.876352310180664,0.5760103464126587,0.85205114,0.026399687,3.36979104E8,4.910366E7,9.6960464E7,4.4659992E7,"           1"
6186,00:57:56.60,+00:52:08.56,30.172855377197266,2.8586959838867188,62,46.716705322265625,1.701403260231018,0.69345164,0.06570036,1.4969432E8,5.8675628E7,5.1031356E7,2.3505042E7,"           3"
6368,01:09:07.85,+01:07:15.89,15.974011421203613,1.6433892250061035,55,38.79709243774414,1.2171318531036377,0.6002915,0.061757352,6.1188576E7,2.5934004E7,1.4811043E7,6821966.5,"           1"
6412,01:13:45.98,+00:56:44.13,104.68348693847656,2.143744945526123,75,78.07295989990234,10.896140098571777,1.5676185,0.03210224,7.6638566E8,1.35039568E8,7.884416E8,3.63156192E8,"           1"
6748,01:26:05.01,+00:19:00.68,24.852262496948242,2.000777006149292,71,71.83726501464844,1.0554301738739014,1.3935466,0.11219003,4.61181088E8,1.52364752E8,8.7555928E7,4.032826E7,"           3"
6949,01:55:59.76,-00:11:08.02,51.69195556640625,1.750600814819336,60,59.82926559448242,4.6137375831604,0.9513124,0.032217167,2.07844992E8,3.8951576E7,3.2336864E8,1.489436E8,"           1"
7167,02:18:08.02,+00:45:29.39,39.8371467590332,2.322465419769287,56,76.77340698242188,1.2012253999710083,1.1586419,0.06754765,3.71130336E8,9.0573256E7,1.39000032E8,6.4023412E7,"           1"
8260,00:35:06.49,+14:21:17.42,170.84230041503906,2.143744945526123,63,161.2894744873047,25.842763900756836,5.60829,0.07037334,1.49562153E10,3.55118054E9,2.5029204E10,1.15284511E10,"           2"
8266,00:32:00.11,+14:44:17.36,142.07266235351562,2.143744945526123,67,138.53395080566406,2.7169644832611084,7.8410754,0.11831457,1.15545027E10,1.1521911E9,7.1078298E9,3.2738665E9,"           2"
8269,00:28:16.69,+13:49:24.46,177.3486785888672,2.143744945526123,78,119.4004135131836,27.068571090698242,6.9257364,0.08371651,8.9347461E9,2.65324979E9,4.08035302E9,1.87941056E9,"           2"
8274,00:32:34.94,+15:02:10.01,76.57180786132812,2.8586959838867188,46,85.0848159790039,21.479721069335938,2.8047035,0.10470949,9.1175514E8,3.21583072E8,3.75802573E9,1.73094669E9,"           2"
8289,00:35:46.94,+13:59:01.48,165.18118286132812,2.143744945526123,73,234.02040100097656,35.632965087890625,9.228376,0.119767174,1.60922982E10,3.23389798E9,3.04218604E10,1.40123095E10,"           2"
8303,00:47:35.13,+14:09:18.42,173.89002990722656,2.143744945526123,67,263.1116638183594,116.2694320678711,8.649639,0.10663417,1.72669972E10,6.0274836E9,2.76533453E10,1.27371305E10,"           2"
8308,00:45:10.98,+14:10:52.89,176.39292907714844,2.143744945526123,38,131.20201110839844,15.42032527923584,3.3478508,0.040687222,8.8828109E9,1.54190758E9,1.36213197E10,6.2739799E9,"           2"
8309,00:45:22.30,+14:35:00.00,245.1492919921875,2.143744945526123,63,104.46971893310547,65.96729278564453,8.498169,0.074313514,2.26829865E10,1.49959793E10,9.3389242E10,4.3015086E10,"           2"
8313,00:43:32.39,+14:20:33.16,62.461238861083984,2.036518096923828,28,260.6619873046875,2.1506564617156982,6.5876584,0.21478738,5.6179681E9,7.732969E8,6.9551899E10,3.20356065E10,"           2"
8331,00:49:22.10,+15:31:33.00,76.63804626464844,2.8944480419158936,57,79.8968505859375,2.3921914100646973,2.1050682,0.07950372,1.05934803E9,1.78000768E8,4.000864E8,1.84279792E8,"           1"
8333,00:56:42.19,+14:12:45.12,156.79464721679688,2.143744945526123,63,71.27191162109375,18.017717361450195,5.2214017,0.07138862,3.88262451E9,1.24200154E9,2.93173018E9,1.35035494E9,"           2"
8348,00:53:24.62,+14:29:19.65,142.15203857421875,2.143744945526123,76,182.33335876464844,24.2216854095459,2.6219633,0.039540906,7.7827041E9,1.5580809E9,5.1997727E9,2.39501517E9,"           2"
8349,00:53:46.63,+14:33:25.92,135.91976928710938,2.143744945526123,71,153.27243041992188,20.666202545166016,6.6830554,0.10540605,7.3187881E9,1.87961766E9,7.3391923E9,3.38043187E9,"           2"
8361,00:50:12.67,+14:41:05.68,182.70761108398438,2.143744945526123,45,117.56123352050781,10.546177864074707,3.471274,0.04072915,1.04122798E10,1.63866803E9,1.17225267E9,5.3993958E8,"           2"
8377,00:54:50.90,+15:16:41.31,170.7689666748047,2.143744945526123,29,212.910888671875,24.784835815429688,4.450688,0.05587162,7.6075336E9,1.8383735E9,2.61044572E10,1.20237128E10,"           2"
8383,00:55:32.62,+15:46:33.30,168.39382934570312,2.143744945526123,37,178.97032165527344,18.154766082763672,2.56878,0.03270196,1.27760896E10,1.60419238E9,1.7063723E10,7.8595507E9,"           2"
8407,01:00:40.56,+14:10:33.24,182.956298828125,2.143744945526123,75,138.64341735839844,37.751834869384766,7.15272,0.08381022,9.5210557E9,3.43022643E9,1.96064276E10,9.0307205E9,"           2"
8409,00:59:48.73,+14:43:24.54,183.34539794921875,2.143744945526123,90,208.32618713378906,1.488457441329956,14.783162,0.17285042,2.54138655E10,1.3234793E9,3.196305E10,1.47221811E10,"           2"
