"redshift","g.r","g.r_err","fracdeV","type"
0.0833,0.695,0.02,0.42,1
0.0735,0.701,0.021,0.46,1
0.0642,0.756,0.039,0,1
0.0621,0.662,0.017,0.32,1
0.0661,0.687,0.018,0.4,1
0.0584,0.691,0.026,0,1
0.0429,0.657,0.02,0.26,1
0.0381,1.273,0.017,0.3,1
0.0464,0.71,0.015,0.37,1
0.0587,0.691,0.016,0.21,1
0.0415,0.707,0.015,0.47,1
0.0748,0.73,0.017,0.47,1
0.0832,0.665,0.024,0.17,1
0.0426,0.689,0.015,0.28,1
0.042,0.686,0.016,0.14,1
0.0367,0.651,0.017,0.38,1
0.0717,0.69,0.02,0.24,1
0.0322,0.782,0.016,0.32,1
0.0434,0.676,0.016,0.42,1
0.0736,0.68,0.018,0.44,1
0.0375,0.692,0.016,0.37,1
0.0655,0.709,0.02,0.25,1
0.0827,0.676,0.022,0.44,1
0.039,0.687,0.017,0.38,1
0.0633,0.7,0.027,0.32,1
0.0723,0.736,0.017,0.49,1
0.0618,0.689,0.016,0.46,1
0.0696,0.682,0.022,0.42,1
0.079,0.69,0.018,0.48,1
0.0623,0.667,0.016,0.45,1
0.0326,0.755,0.017,0.33,1
0.0437,0.66,0.017,0.36,1
0.0823,0.717,0.018,0.48,1
0.0544,0.673,0.016,0.43,1
0.0646,0.67,0.016,0.31,1
0.0648,0.698,0.02,0.16,1
0.0646,0.726,0.017,0.41,1
0.0484,0.729,0.016,0.4,1
0.056,0.681,0.018,0.27,1
0.0553,0.859,0.024,0.46,1
0.0441,0.694,0.016,0.35,1
0.0614,0.682,0.016,0.45,1
0.0321,0.686,0.015,0.32,1
0.0691,0.819,0.126,0.46,1
0.0663,0.671,0.017,0.22,1
0.0825,0.74,0.02,0.44,1
0.0793,0.702,0.016,0.37,1
0.0845,0.668,0.028,0.13,1
0.063,0.749,0.018,0.25,1
0.053,0.694,0.018,0.46,1
0.0598,0.678,0.017,0.39,1
0.0742,0.691,0.017,0.35,1
0.0642,0.832,0.017,0.44,1
0.0836,0.731,0.021,0.33,1
0.0662,0.683,0.017,0.48,1
0.0593,0.656,0.017,0.42,1
0.0386,0.693,0.016,0.47,1
0.0686,0.724,0.016,0.48,1
0.0365,0.732,0.017,0,1
0.0517,0.675,0.015,0.18,1
0.0848,0.671,0.018,0.34,1
0.0525,0.639,0.023,0,1
0.058,0.66,0.02,0.04,1
0.0374,0.675,0.015,0.2,1
0.0784,0.66,0.018,0.3,1
0.0836,0.684,0.02,0.25,1
0.0774,0.688,0.018,0.27,1
0.0527,0.676,0.02,0.2,1
