"N_GC","MV_T","Type"
160,-21.3,"S"
1,-14.84,"Irr"
150,-20.18,"S"
36,-18.77,"S"
10,-15.46,"E"
8,-15.4,"E"
11,-16.66,"E"
0,-16.54,"E"
450,-21.8,"S"
60,-18.8,"S"
90,-21.01,"S"
1,-16.82,"Irr"
70,-18.4,"S"
5,-14.35,"Irr"
85,-19.14,"S"
609,-20.97,"S0"
3300,-21.85,"S0"
1620,-22.39,"S0"
500,-21.18,"E"
50,-19,"S"
210,-21.4,"S0"
2,-15.3,"S"
4700,-22.13,"E"
660,-22.08,"E"
6,-16.87,"S"
320,-21.53,"E"
70,-21.4,"S"
4245,-22.29,"E"
5,-13,"E"
490,-21.14,"S0"
6,-15.55,"Irr"
400,-21.05,"E"
210,-21.3,"S"
3613,-22.76,"E"
3020,-22.45,"E"
3,-16.38,"S"
365,-20.01,"E"
230,-20.86,"S0"
7,-19.75,"S"
7800,-22.69,"E"
5,-15.76,"S"
16,-17.01,"S0"
1000,-23.16,"S0"
3,-14.47,"E"
22,-17.4,"S0"
37,-18.6,"S0"
21,-18.31,"E"
1000,-21.62,"S0"
10,-16.57,"E"
276,-19.14,"E"
37,-18.43,"S0"
0,-13.13,"E"
231,-20.01,"E"
280,-21.18,"E"
16,-17.87,"S"
274,-20.96,"E"
21,-17.77,"E"
21,-17.88,"S0"
34,-17.07,"E"
15,-17.49,"S0"
7,-16.81,"S"
17,-17.39,"S0"
25,-17.87,"E"
1,-13.03,"E"
360,-20.43,"E"
86,-19.16,"S0"
10,-16.47,"E"
60,-19.55,"S0"
16,-18.49,"S0"
225,-20.64,"E"
424,-21.51,"S0"
71,-19.91,"S0"
10,-15.47,"E"
70,-18.78,"S0"
59,-17.57,"S0"
390,-20.84,"E"
1,-13.37,"E"
156,-18.85,"S0"
48,-20.13,"S0"
30,-16.93,"E"
17,-17.36,"S0"
6000,-22.03,"E"
770,-21.59,"E"
2960,-21.36,"S0"
38,-18.5,"Irr"
7000,-22.86,"E"
2,-13.47,"E"
0,-14.37,"E"
0,-13.07,"E"
155,-18.97,"E"
6,-14.57,"E"
80,-18.59,"S0"
500,-20.74,"E"
42,-18.7,"E"
240,-20.58,"E"
17,-16.96,"S0"
260,-20.84,"E"
21,-18.49,"E"
22,-17.36,"E"
39,-18.9,"S0"
21,-15.47,"E"
21,-17.22,"S0"
14,-18.18,"E"
5,-18.32,"S"
132,-20.27,"E"
11,-16.13,"Irr"
55,-19.71,"E"
250,-20.98,"E"
140,-21.72,"E"
540,-21.98,"S0"
4,-18.96,"E"
2850,-23.33,"E"
2,-14.71,"Irr"
3,-17.45,"S0"
1320,-22.14,"E"
6870,-21.1,"Irr"
6850,-22.3,"E"
16,-18.36,"Irr"
11577,-23.7,"E"
27,-19.38,"S"
2120,-22.41,"E"
9,-15.5,"Irr"
1,-14.6,"Irr"
143,-21.23,"E"
4,-15.33,"Irr"
5,-15.12,"Irr"
2690,-22.46,"E"
2,-14.98,"Irr"
3,-13.04,"Irr"
120,-19.8,"S"
99,-20.57,"S"
16400,-24.19,"E"
4600,-22.1,"S"
720,-22.03,"E"
50,-19.45,"E"
4400,-23.25,"E"
712,-21.5,"E"
58,-19.7,"S"
35,-20.62,"S0"
23,-19.06,"S0"
300,-21.08,"S"
130,-19.27,"E"
14,-19.15,"S"
550,-21.19,"S0"
60,-17.64,"E"
5,-11.51,"E"
115,-19.56,"S0"
2160,-22.3,"E"
470,-20.53,"E"
1330,-21.85,"E"
6000,-21.33,"E"
4750,-21.6,"E"
29,-20.35,"S"
16500,-21.84,"E"
3100,-22.19,"E"
191,-19.95,"E"
216,-20.9,"E"
120,-20.49,"S0"
8,-14.13,"E"
400,-21.1,"S0"
27,-17.86,"S"
100,-20.18,"S0"
4880,-22.1,"E"
1075,-23.25,"E"
6600,-22.8,"S0"
290,-20.5,"S"
300,-21.81,"E"
29,-19.66,"S0"
600,-21.5,"S0"
450,-21.11,"E"
400,-22.02,"E"
3470,-22.68,"E"
590,-21.21,"E"
12000,-23.14,"E"
13,-17.68,"S0"
2800,-22.28,"E"
190,-20.07,"S"
160,-20.08,"E"
8300,-23.29,"E"
26,-18.04,"E"
21,-16.83,"S0"
7,-19.11,"S0"
80,-19.66,"S"
2,-16.39,"E"
2,-14.21,"Irr"
2,-14.58,"Irr"
175,-20.08,"E"
21,-17.51,"S0"
10,-15.98,"E"
620,-21.81,"S"
16,-17.12,"E"
29,-16.21,"E"
8,-13.61,"E"
8,-17.6,"E"
1242,-22.14,"E"
100,-19.51,"S0"
22,-16.17,"E"
179,-20.22,"S0"
1100,-20.97,"E"
950,-20.74,"E"
42,-17.82,"S0"
18,-15.88,"E"
3,-14.88,"E"
4,-13.47,"E"
1,-16.24,"E"
18,-17.41,"S0"
11,-17.32,"S0"
18,-18.5,"E"
5,-12.9,"E"
45,-17.56,"Irr"
196,-20.05,"S0"
114,-18.86,"S0"
3246,-22.35,"E"
16,-15.47,"E"
9,-16.97,"S0"
200,-20.46,"S0"
4301,-22.36,"E"
74,-19.48,"S0"
50,-19.36,"S0"
1110,-22.25,"S0"
70,-19.27,"E"
43,-17.57,"E"
18,-16.36,"E"
2800,-22.36,"E"
5,-13.97,"E"
61,-16.96,"E"
72,-20,"S0"
72,-20,"S0"
23,-16.57,"E"
15,-16.37,"E"
4,-15.87,"E"
11,-18.2,"S0"
141,-19.68,"E"
345,-20.4,"S0"
8,-16.69,"S0"
178,-20.56,"S0"
20,-17.54,"E"
2,-12.55,"E"
12,-18.56,"Irr"
16,-16.78,"E"
66,-17.79,"E"
5,-15.55,"E"
8,-16.2,"E"
25,-16.58,"E"
52,-19.12,"S0"
72,-19.07,"E"
218,-20.81,"S0"
14,-16,"E"
25,-18.56,"S"
14,-16.77,"E"
7000,-22.82,"E"
376,-20.81,"E"
116,-19.59,"S0"
20,-19.14,"S0"
8,-12.87,"E"
26,-16.67,"E"
35,-19.64,"E"
3,-13.23,"E"
58,-19.79,"E"
59,-18.86,"S0"
4,-17.77,"E"
72,-18.96,"S0"
8,-16.59,"E"
20,-16,"E"
13000,-22.61,"E"
31,-19.03,"E"
11,-18.7,"E"
11,-14.9,"E"
11,-17.51,"E"
392,-21.4,"E"
0,-12.67,"E"
27,-17.34,"E"
26,-16.9,"E"
50,-16.72,"E"
25,-17.97,"E"
61,-17.39,"E"
27,-16.86,"E"
270,-19.52,"S"
81,-18.79,"S0"
7,-16.78,"E"
12,-15.61,"E"
6,-16.01,"E"
19,-16.53,"E"
5,-16.25,"S0"
2,-16.57,"E"
41,-17.16,"E"
8,-13.37,"E"
388,-21.51,"S0"
31,-19.08,"S0"
31,-16.05,"E"
54,-16.91,"E"
15,-15.89,"E"
26,-17.1,"S0"
84,-19.39,"S0"
4,-16.46,"E"
47,-19.15,"E"
1100,-20.39,"E"
204,-21.68,"S"
10,-15.81,"E"
213,-20,"E"
139,-20.34,"S0"
14,-17.49,"S0"
1052,-21.07,"E"
0,-13.2,"E"
62,-19.62,"S0"
10,-16.33,"E"
2,-16.9,"S0"
22,-18.41,"S"
1900,-22.12,"S"
4,-16.03,"E"
20,-16.78,"S"
18,-17.13,"E"
2700,-21,"S0"
11,-16.64,"Irr"
38,-17.6,"E"
10,-17.31,"E"
26,-16.8,"E"
83,-21.12,"S0"
4,-16.25,"E"
6,-16.6,"E"
803,-21.34,"E"
49,-17.39,"E"
71,-19.94,"S0"
60,-20.1,"S0"
4200,-21.43,"E"
2,-16.06,"E"
4000,-22.41,"E"
205,-19.74,"E"
24,-17.36,"E"
750,-21.28,"E"
17,-17.85,"E"
9,-16.36,"E"
229,-21.27,"E"
110,-20.53,"S0"
240,-21.7,"S0"
6100,-22.25,"E"
17700,-23.7,"E"
6500,-23.16,"E"
1290,-21.12,"E"
880,-20.99,"E"
2150,-20.88,"E"
920,-20.53,"E"
20000,-23.48,"E"
295,-20.47,"E"
1220,-21.06,"E"
620,-20.41,"E"
11000,-23.47,"E"
160,-20.16,"E"
650,-21.01,"S0"
470,-20.86,"E"
1100,-21.39,"E"
6700,-21.26,"E"
1300,-22.36,"E"
43,-19.9,"S"
8,-15.78,"Irr"
1000,-22.34,"E"
