"Galaxy","Type","N_GC","N_GC_err","MV_T","err_MV_T"
"MilkyWay","S",160,10,-21.3,0.3
"WLM","Irr",1,0,-14.84,0.2
"NGC7814","S",150,40,-20.18,0.28
"NGC55","S",36,15,-18.77,0.2
"NGC147","E",10,2,-15.46,0.3
"NGC185","E",8,1,-15.4,0.2
"NGC205","E",11,3,-16.66,0.2
"NGC221","E",0,1,-16.54,0.21
"NGC224","S",450,100,-21.8,0.2
"NGC247","S",60,30,-18.8,0.2
"NGC253","S",90,40,-21.01,0.2
"SMC","Irr",1,1,-16.82,0.2
"NGC300","S",70,30,-18.4,0.2
"UGC-685","Irr",5,2,-14.35,0.2
"NGC406","S",85,24,-19.14,0.25
"NGC474","S0",609,94,-20.97,0.2
"NGC524","S0",3300,1000,-21.85,0.2
"NGC541","S0",1620,450,-22.39,0.22
"NGC584","E",500,200,-21.18,0.34
"NGC598","S",50,20,-19,0.2
"PGC-6240","S0",210,20,-21.4,0.2
"UGC-1281","S",2,2,-15.3,0.2
"NGC708","E",4700,1000,-22.13,0.2
"NGC720","E",660,190,-22.08,0.23
"NGC784","S",6,2,-16.87,0.2
"NGC821","E",320,45,-21.53,0.2
"NGC891","S",70,20,-21.4,0.2
"NGC910","E",4245,1100,-22.29,0.22
"Fornax-dE","E",5,0,-13,0.2
"NGC1023","S0",490,30,-21.14,0.2
"NGC1023A","Irr",6,2,-15.55,0.53
"NGC1052","E",400,45,-21.05,0.2
"NGC1055","S",210,40,-21.3,0.2
"NGC1132","E",3613,295,-22.76,0.2
"UGC-2413","E",3020,840,-22.45,0.2
"ESO-154-023","S",3,1,-16.38,0.3
"NGC1172","E",365,25,-20.01,0.28
"NGC1201","S0",230,80,-20.86,0.36
"NGC1313","S",7,4,-19.75,0.24
"NGC1275","E",7800,2500,-22.69,0.2
"NGC1311","S",5,2,-15.76,0.2
"ESO-301-G08","S0",16,5,-17.01,0.2
"NGC1316","S0",1000,500,-23.16,0.2
"FCC-0025","E",3,4,-14.47,0.2
"ESO-357-G25","S0",22,7,-17.4,0.2
"ESO-358-G01","S0",37,15,-18.6,0.2
"IC1919","E",21,10,-18.31,0.2
"NGC1332","S0",1000,500,-21.62,0.2
"FCC-0046","E",10,5,-16.57,0.2
"NGC1336","E",276,100,-19.14,0.2
"ESO-358-G06","S0",37,15,-18.43,0.2
"FCC-0059","E",0,4,-13.13,0.2
"NGC1339","E",231,80,-20.01,0.2
