"bpt","logM200","r_r200","zoo"
0,-0.257199743,-0.960218978,"E"
0,-0.239955331,-0.957190986,"E"
1,-1.217851469,-0.860219744,"E"
0,-0.387050168,-0.805846223,"E"
1,-0.418366021,-0.85519834,"E"
0,-1.143148675,-0.975864079,"E"
0,-1.143148675,-1.035847805,"E"
0,-0.072236176,-0.964835196,"E"
1,-0.770014079,-0.757996334,"E"
1,1.110178694,-0.707351579,"E"
1,-0.982879106,-0.978682525,"E"
0,0.001362977,-0.931813475,"E"
0,-0.036643708,-0.841154938,"E"
1,-0.450061251,-0.975333271,"E"
1,-0.032987893,-0.723309973,"E"
0,1.562361676,-0.603055338,"E"
1,1.562361676,-0.616265067,"E"
0,-1.209470685,-0.859473711,"E"
1,-0.719039596,-0.77525,"E"
0,-0.719039596,-0.997559216,"E"
1,-0.34504278,-0.512723582,"E"
1,-0.00284466,-0.408072521,"E"
1,-0.00284466,-0.752622076,"E"
1,0.826370155,-0.926728155,"E"
0,0.639164814,-0.777269018,"E"
1,-0.809883161,-0.928594327,"E"
0,-0.494931212,-0.960361912,"E"
1,-0.858443426,-0.736455277,"E"
0,-0.511589315,-1.014307999,"E"
0,-1.483691331,-0.968115201,"E"
0,-0.685792369,-0.793927132,"E"
0,-0.628471942,-0.854370555,"E"
0,1.624027695,-0.687829552,"E"
1,1.624027695,-0.481358131,"E"
0,-0.394879132,-0.954195695,"E"
1,0.570428586,-0.88986311,"E"
0,-0.277375706,-0.893500805,"E"
0,-0.277375706,-0.645645042,"E"
0,0.104691496,-0.666293516,"E"
0,-0.780602148,-0.810313474,"E"
0,-1.3387348,-0.904714641,"E"
1,-1.258996637,-0.517253053,"E"
1,-0.46389127,-0.976914095,"E"
0,-0.209225788,-1.036951721,"E"
0,0.422023173,-0.508849067,"E"
0,0.065374235,-0.752761016,"E"
1,1.572673835,-0.845802888,"E"
0,-0.269477765,-0.829189842,"E"
0,0.367599807,-0.955932351,"E"
0,-1.155426696,-0.97714852,"E"
0,0.207502682,-0.52599159,"E"
0,-1.198020395,-0.54724452,"E"
0,-1.576052404,-0.804840037,"E"
1,-0.72362661,-0.940761517,"E"
1,-0.96484145,-0.933630415,"E"
0,-0.37146122,-0.812293856,"E"
0,0.565979528,-0.801796261,"E"
1,-0.963841275,-0.999413295,"E"
0,-0.549423556,-0.979439574,"E"
1,1.248271949,-0.914957378,"E"
1,1.248271949,-0.54118124,"E"
0,1.248271949,-0.57738282,"E"
0,1.951499087,-0.436037176,"E"
0,1.951499087,-0.825908695,"E"
0,0.215262668,-0.939568309,"E"
1,0.926215303,-0.978849233,"E"
0,0.926215303,-0.836789501,"E"
1,-0.01839912,-0.847732146,"E"
1,-0.01839912,-1.036676996,"E"
0,-1.488830166,-0.9921992,"E"
