"","Galaxy","Type","N_GC","N_GC_err","Mdyn","MBH","sig_e","err_sig_e","A_V","MV_T","err_MV_T","MK","Re","upMBH","lowMBH"
"1","MilkyWay","S",160,10,9.856,6.61,105,20,0,-21.3,0.3,"NA","0.70",0.04,0.04
"2","WLM","Irr",1,0,NA,NA,NA,NA,0.088,-14.84,0.2,"NA","NA",NA,NA
"3","NGC7814","S",150,40,10.879,NA,169.2,7.2,0.147,-20.18,0.28,"-23.531","2.84",NA,NA
"4","NGC55","S",36,15,NA,NA,NA,NA,0.036,-18.77,0.2,"-20.356","2.31",NA,NA
"5","NGC147","E",10,2,8.408,NA,22,5,0.475,-15.46,0.3,"-17.254","0.57",NA,NA
"6","NGC185","E",8,1,8.105,NA,19.9,2.4,0.5,-15.4,0.2,"-17.489","0.35",NA,NA
"7","NGC205","E",11,3,8.775,0,31.2,4.7,0.17,-16.66,0.2,"-18.947","0.66",4.58,0
"8","NGC221","E",0,1,8.843,6.46,75,3,0.17,-16.54,0.21,"-19.327","0.13",0.08,0.1
"9","NGC224","S",450,100,11.046,8.18,160,8,0.17,-21.8,0.2,"-23.467","4.66",0.2,0.1
"10","NGC247","S",60,30,NA,NA,NA,NA,0.05,-18.8,0.2,"-20.428","3.64",NA,NA
"11","NGC253","S",90,40,10.571,7,102.6,18.8,0.051,-21.01,0.2,"-23.979","3.80",0.3,0.3
"12","SMC","Irr",1,1,NA,NA,NA,NA,0.101,-16.82,0.2,"NA","NA",NA,NA
"13","NGC300","S",70,30,NA,NA,NA,NA,0.035,-18.4,0.2,"-20.108","2.43",NA,NA
"14","UGC-685","Irr",5,2,NA,NA,NA,NA,0.156,-14.35,0.2,"NA","0.55",NA,NA
"15","NGC406","S",85,24,NA,NA,NA,NA,0.065,-19.14,0.25,"-21.394","2.44",NA,NA
"16","NGC474","S0",609,94,11.078,NA,163.4,5.4,0.094,-20.97,0.2,"-23.805","4.82",NA,NA
"17","NGC524","S0",3300,1000,11.524,NA,253.5,7.8,0.226,-21.85,0.2,"-24.682","5.58",NA,NA
"18","NGC541","S0",1620,450,11.759,0,219.8,4,0.149,-22.39,0.22,"-25.041","12.78",8.93,0
"19","NGC584","E",500,200,10.983,NA,205.9,4.2,0.14,-21.18,0.34,"-24.231","2.44",NA,NA
"20","NGC598","S",50,20,9.618,0,37.2,16.3,0.139,-19,0.2,"-20.482","3.22",3.48,0
"21","PGC-6240","S0",210,20,NA,NA,249.1,46.5,0.056,-21.4,0.2,"-24.654","NA",NA,NA
"22","UGC-1281","S",2,2,NA,NA,NA,NA,0.128,-15.3,0.2,"-15.553","NA",NA,NA
"23","NGC708","E",4700,1000,11.937,NA,229.8,9.7,0.241,-22.13,0.2,"-24.816","17.60",NA,NA
"24","NGC720","E",660,190,11.418,NA,241.1,6.7,0.054,-22.08,0.23,"-24.945","4.84",NA,NA
"25","NGC784","S",6,2,NA,NA,NA,NA,0.162,-16.87,0.2,"-18.413","NA",NA,NA
"26","NGC821","E",320,45,11.361,8.23,209,10,0.364,-21.53,0.2,"-23.984","5.64",0.16,0.25
"27","NGC891","S",70,20,10.431,NA,73.1,10.2,0.178,-21.4,0.2,"-23.692","5.43",NA,NA
"28","NGC910","E",4245,1100,11.728,NA,249.2,8,0.19,-22.29,0.22,"-25.088","9.26",NA,NA
"29","Fornax-dE","E",5,0,7.693,NA,10.4,0.7,0.055,-13,0.2,"999999","0.49",NA,NA
