"index","SFR","Z","Mstar","Xmol","Mgas","Mdm","T"
1,2.2038152e-07,0,0,0.0001210175,181938.91,2328593.3,802.35003
2,0,0,0,2.3262039e-05,96940.896,1722977.4,790.4685
3,0,0,0,1.9713506e-05,70556.371,1504955.6,627.52476
4,0,0,0,1.7206953e-05,57173.53,1305102.4,657.12819
5,0,0,0,5.1687543e-05,69921.11,1170765.7,792.06874
6,0,0,0,3.644979e-05,55775.955,1007800,779.49967
7,0,0,0,3.0326594e-05,49804.497,1039732.5,682.16608
8,0,0,0,1.9965119e-05,35320.536,945036.16,653.29068
9,0,0,0,1.9423277e-05,28290.31,711874.02,710.81892
10,0,0,0,2.4267049e-05,31170.161,655716.9,634.61314
11,0,0,0,1.7150586e-05,22530.606,684896.58,638.92117
12,0,0,0,1.9637212e-05,32144.229,597908.11,616.31112
13,0,0,0,1.8590448e-05,25961.018,628739.47,567.32961
14,0,0,0,2.2944909e-05,28544.414,591851.95,619.25098
15,0,0,0,1.3973581e-05,20158.963,626261.95,509.82545
16,0,0,0,1.5113883e-05,19269.597,600110.35,580.53036
17,0,0,0,1.2205065e-05,17321.462,582767.71,432.99486
18,0,0,0,1.9095904e-05,18464.933,509267.96,568.45512
19,0,0,0,2.6542181e-05,20286.015,483116.36,578.54465
20,0,0,0,1.7130976e-05,21005.978,473756.84,591.78796
21,0,0,0,2.2732394e-05,16262.693,478436.6,502.93948
22,0,0,0,1.8203632e-05,16220.342,458065.88,594.48635
23,0,0,0,1.7236822e-05,13044.035,469077.08,523.43468
24,0,0,0,2.2653681e-05,17744.97,436043.48,663.96501
25,0,0,0,1.7707558e-05,15161.573,411268.29,484.16965
26,0,0,0,2.0592562e-05,13128.736,406863.81,564.12998
27,0,0,0,1.676347e-05,13891.05,366397.65,553.97515
28,1.9912161e-06,0,0,0.00042860737,240001.89,2641586.7,882.00391
29,0,0,0,3.0725422e-05,150641.66,2250689.1,979.19543
30,0,0,0,2.2861075e-05,88597.796,1698477.5,664.62829
31,0,0,0,7.6200779e-05,90207.127,1376399.9,796.88843
32,0,0,0,1.9297976e-05,70259.916,1411085.2,679.08868
33,0,0,0,4.1517073e-05,79322.979,1236282.4,830.64743
34,0,0,0,3.533791e-05,65304.876,1281428.3,730.41976
35,0,0,0,1.2767344e-05,38327.44,1115709.7,565.63454
36,0,0,0,2.1899694e-05,44002.443,949715.92,713.17566
37,0,0,0,1.9623809e-05,41503.748,958524.88,632.1648
38,0,0,0,2.7798004e-05,42181.36,893283.52,681.90455
39,0,0,0,2.2616326e-05,48533.974,845935.37,711.77907
40,0,0,0,2.2177873e-05,39301.508,828042.17,651.28389
41,0,0,0,1.9391719e-05,35108.782,785649.05,554.05664
42,0,0,0,1.7103708e-05,28756.168,804643.37,642.94185
43,0,0,0,2.9617673e-05,37734.53,730042.5,803.04518
44,0,0,0,1.9704655e-05,27655.048,772986.17,693.21621
45,0,0,0,1.6477065e-05,26808.033,776564.81,604.76051
46,0,0,0,2.4078484e-05,30026.691,729491.94,552.10304
47,0,0,0,1.6559266e-05,26299.824,725638.02,600.19401
48,0,0,0,2.3084438e-05,32186.58,616076.59,681.96065
49,0,0,0,1.2555404e-05,19057.843,649936.02,447.91345
50,0,0,0,2.240782e-05,19100.194,578913.79,720.02562
51,0,0,0,2.6635647e-05,20201.314,557717.23,635.26112
52,0,0,0,1.5553792e-05,20836.575,535419.55,479.22781
53,0,0,0,1.8803251e-05,16601.499,546981.31,600.26875
54,0,0,0,1.9343006e-05,21048.329,505138.76,527.33328
55,0,0,0,1.4331105e-05,16728.551,528812.84,506.3409
56,0,0,0,1.4946612e-05,16432.096,524683.64,589.98766
57,0,0,0,1.4478232e-05,16601.499,512296.04,563.58322
58,0,0,0,1.6448317e-05,17829.671,495228.68,526.51873
59,0,0,0,1.7228689e-05,15796.835,496054.52,599.21174
60,0,0,0,1.3824948e-05,15288.625,476509.64,515.51798
61,0,0,0,1.9467091e-05,17406.164,461369.24,476.59078
62,0,0,0,1.0238713e-05,13298.14,455313.08,414.71912
63,0,0,0,1.7568846e-05,13128.736,437419.88,447.13456
64,0,0,0,1.1696141e-05,14949.819,422004.2,485.4202
65,0,0,0,1.7622224e-05,13044.035,401633.49,535.28967
66,0,0,0,1.8616306e-05,14865.118,373004.37,507.86573
67,0,0,0,1.3123737e-05,15627.432,324279.81,583.84892
68,0,0,0,2.438007e-05,12832.281,220223.98,609.8707
69,0,0,0,4.1081253e-05,334698.08,5215179.2,857.7361
70,9.5238248e-06,4.43664418032787e-06,1.34904e-08,0.00081285046,425372.69,4431732.3,926.76998
71,0,0,0,4.9074998e-05,161568.16,2388879.6,779.17026
72,1.9715328e-08,0,0,0.00017355235,122520.78,1686365.1,748.77114
73,0,0,0,2.3635269e-05,96771.493,1625528.3,757.57894
74,0,0,0,4.7055565e-05,90884.737,1484584.9,769.92998
75,0,0,0,2.4106368e-05,62636.778,1345568.5,741.17764
76,0,0,0,1.5853032e-05,50947.968,1413838,600.51942
77,0,0,0,2.1474173e-05,61747.412,1259405.9,666.59962
78,0,0,0,1.9947304e-05,58740.508,1256928.4,807.5081
79,0,0,0,1.4513504e-05,53023.155,1268765.4,699.13835
80,0,0,0,2.5535857e-05,56538.268,1104148,766.91741
81,0,0,0,1.3229448e-05,38962.702,1066434.6,557.25901
82,0,0,0,3.0528684e-05,53446.663,931272.16,823.06129
83,0,0,0,2.7523162e-05,41969.606,912553.12,629.11719
84,0,0,0,2.4582177e-05,38327.44,926041.84,670.50836
